Player,Salary 19/20,y_pred
Russell Westbrook,38178.0,37218.5
John Wall,37800.0,27168.28
Blake Griffin,34234.964,31275.797
Kawhi Leonard,32742.0,31285.334
Nikola Vučević,28000.0,26817.701
Al Horford,28000.0,16026.473
Andre Drummond,27093.019,21025.523
Jrue Holiday,26131.111,33425.043
Giannis Antetokounmpo,25842.697,19665.01
Nicolas Batum,25565.217,11712.506
Rudy Gobert,25008.427,19193.803
Zach LaVine,19500.0,21242.135
Tyler Johnson,19245.37,4092.4568
Jeff Teague,19000.0,9486.179
Myles Turner,18000.0,7144.239
Reggie Jackson,17286.956,13768.141
Andre Iguodala,17185.185,5391.6836
Eric Bledsoe,15625.0,21620.697
Ian Mahinmi,15450.051,2103.737
Solomon Hill,13258.781,2197.783
Justise Winslow,13000.0,8083.8306
Miles Plumlee,12500.0,2393.6567
Robert Covington,11301.219,16512.168
Jeremy Lamb,10500.0,15628.276
Al-Farouq Aminu,9258.0,10266.767
P.J. Tucker,8349.039,10570.417
Ben Simmons,8113.93,16604.857
Jayson Tatum,7830.0,7265.4785
Wayne Ellington,7804.878,5111.1743
D.J. Augustin,7250.0,9932.018
DeMarre Carroll,6842.307,5599.0723
DeMarre Carroll,6842.307,5599.0723
Trae Young,6273.0,9070.065
Marco Belinelli,5846.154,4292.051
Rodney Hood,5718.0,4277.0044
Daniel Theis,5000.0,3504.6091
Buddy Hield,4861.208,17621.203
Justin Holiday,4767.0,10311.2705
Garrett Temple,4767.0,3955.667
Richaun Holmes,4767.0,4397.416
Rodney McGruder,4629.63,6351.8647
Luke Kennard,3827.16,3146.358
Jake Layman,3581.986,2489.5178
Thon Maker,3569.643,1447.2257
Danuel House,3540.0,4084.2727
Bam Adebayo,3454.08,5352.815
Kyle Korver,3440.0,2726.552
Yogi Ferrell,3150.0,2215.1636
Quinn Cook,3000.0,2969.4104
D.J. Wilson,2961.12,2620.9404
Lonnie Walker,2760.48,1177.7443
Kevin Huerter,2636.28,3470.81
Harry Giles,2578.8,2312.466
Udonis Haslem,2564.753,1002.2502
Tyson Chandler,2564.753,2238.8137
Jeff Green,2564.753,4925.9165
Kyle Korver,2564.753,2726.552
Anthony Tolliver,2419.852,1067.6871
Patrick Patterson,2331.593,1811.0581
Alec Burks,2320.044,6202.3306
Ante Žižić,2281.8,3670.5068
OG Anunoby,2281.8,2023.4907
Torrey Craig,2100.0,4610.8433
Trey Burke,2028.594,2489.3738
Nerlens Noel,2028.594,1890.7582
Edmond Sumner,2000.0,1140.3518
Landry Shamet,1995.12,3554.2812
Kyle Kuzma,1974.6,14795.169
James Ennis,1882.867,4174.1904
Jonah Bolden,1698.45,1354.5973
Jonah Bolden,1698.45,1354.5973
Cheick Diallo,1678.854,2440.4595
Sterling Brown,1618.52,2316.7888
Frank Jackson,1618.52,2319.0784
J.R. Smith,1456.667,1335.0812
Jevon Carter,1416.852,1167.8308
Alize Johnson,1416.852,1102.2327
Isaiah Hartenstein,1416.852,1070.9901
Alfonzo McKinnie,1361.046,2169.156
Shaquille Harrison,898.31,2856.7808
DeMarre Carroll,811.447,5599.0723
DeMarre Carroll,811.447,5599.0723
Patrick Patterson,737.067,1811.0581
Reggie Jackson,734.025,13768.141
Alfonzo McKinnie,708.871,2169.156
Jeff Green,695.526,4925.9165
Corey Brewer,289.803,1489.3717
J.R. Smith,289.803,1335.0812
Luc Mbah a Moute,289.803,251.62943
Anthony Tolliver,289.803,1067.6871
Trey Burke,229.22,2489.3738
Tyler Johnson,212.753,4092.4568
Justin Anderson,196.288,1211.7622
Cameron Payne,196.288,1832.2538
Alfonzo McKinnie,183.114,2169.156
Cameron Payne,150.0,1832.2538
Jeff Green,144.901,4925.9165
Anthony Tolliver,144.901,1067.6871
Troy Williams,122.741,1124.2899
Johnathan Williams,106.181,2498.1023
Yante Maten,100.0,530.6197
Justin Anderson,98.144,1211.7622
Dusty Hannahs,81.678,302.33783
Jonah Bolden,81.678,1354.5973
Jonah Bolden,81.678,1354.5973
